FuzzySheet,application/vnd.fuzzysheet,.fzs,IANA: FuzySheet,application,.fzs
G3 Fax Image,image/g3fax,.g3,Wikipedia: G3 Fax Image,image,.g3
GameMaker ActiveX,application/vnd.gmx,.gmx,IANA: GameMaker ActiveX,application,.gmx
Gen-Trix Studio,model/vnd.gtw,.gtw,IANA: GTW,model,.gtw
Genomatix Tuxedo Framework,application/vnd.genomatix.tuxedo,.txd,IANA: Genomatix Tuxedo Framework,application,.txd
GeoGebra,application/vnd.geogebra.file,.ggb,IANA: GeoGebra,application,.ggb
GeoGebra,application/vnd.geogebra.tool,.ggt,IANA: GeoGebra,application,.ggt
Geometric Description Language (GDL),model/vnd.gdl,.gdl,IANA: GDL,model,.gdl
GeoMetry Explorer,application/vnd.geometry-explorer,.gex,IANA: GeoMetry Explorer,application,.gex
GEONExT and JSXGraph,application/vnd.geonext,.gxt,IANA: GEONExT and JSXGraph,application,.gxt
GeoplanW,application/vnd.geoplan,.g2w,IANA: GeoplanW,application,.g2w
GeospacW,application/vnd.geospace,.g3w,IANA: GeospacW,application,.g3w
Ghostscript Font,application/x-font-ghostscript,.gsf,Wikipedia: Ghostscript,application,.gsf
Glyph Bitmap Distribution Format,application/x-font-bdf,.bdf,Wikipedia: Glyph Bitmap Distribution Format,application,.bdf
GNU Tar Files,application/x-gtar,.gtar,GNU Tar,application,.gtar
GNU Texinfo Document,application/x-texinfo,.texinfo,Wikipedia: Texinfo,application,.texinfo
Gnumeric,application/x-gnumeric,.gnumeric,Wikipedia: Gnumeric,application,.gnumeric
Google Earth - KML,application/vnd.google-earth.kml+xml,.kml,IANA: Google Earth,application,.kml
Google Earth - Zipped KML,application/vnd.google-earth.kmz,.kmz,IANA: Google Earth,application,.kmz
GrafEq,application/vnd.grafeq,.gqf,IANA: GrafEq,application,.gqf
Graphics Interchange Format,image/gif,.gif,Wikipedia: Graphics Interchange Format,image,.gif
Graphviz,text/vnd.graphviz,.gv,IANA: Graphviz,text,.gv
Groove - Account,application/vnd.groove-account,.gac,IANA: Groove,application,.gac
Groove - Help,application/vnd.groove-help,.ghf,IANA: Groove,application,.ghf
Groove - Identity Message,application/vnd.groove-identity-message,.gim,IANA: Groove,application,.gim
Groove - Injector,application/vnd.groove-injector,.grv,IANA: Groove,application,.grv
Groove - Tool Message,application/vnd.groove-tool-message,.gtm,IANA: Groove,application,.gtm
Groove - Tool Template,application/vnd.groove-tool-template,.tpl,IANA: Groove,application,.tpl
Groove - Vcard,application/vnd.groove-vcard,.vcg,IANA: Groove,application,.vcg
H.261,video/h261,.h261,Wikipedia: H.261,video,.h261
H.263,video/h263,.h263,Wikipedia: H.263,video,.h263
H.264,video/h264,.h264,Wikipedia: H.264,video,.h264
Hewlett Packard Instant Delivery,application/vnd.hp-hpid,.hpid,IANA: Hewlett Packard Instant Delivery,application,.hpid
Hewlett-Packard's WebPrintSmart,application/vnd.hp-hps,.hps,IANA: Hewlett-Packard's WebPrintSmart,application,.hps
Hierarchical Data Format,application/x-hdf,.hdf,Wikipedia: Hierarchical Data Format,application,.hdf
Hit'n'Mix,audio/vnd.rip,.rip,IANA: Hit'n'Mix,audio,.rip
Homebanking Computer Interface (HBCI),application/vnd.hbci,.hbci,IANA: HBCI,application,.hbci
HP Indigo Digital Press - Job Layout Languate,application/vnd.hp-jlyt,.jlt,IANA: HP Job Layout Language,application,.jlt
HP Printer Command Language,application/vnd.hp-pcl,.pcl,IANA: HP Printer Command Language,application,.pcl
HP-GL/2 and HP RTL,application/vnd.hp-hpgl,.hpgl,IANA: HP-GL/2 and HP RTL,application,.hpgl
HV Script,application/vnd.yamaha.hv-script,.hvs,IANA: HV Script,application,.hvs
HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd,IANA: HV Voice Dictionary,application,.hvd
HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp,IANA: HV Voice Parameter,application,.hvp
Hydrostatix Master Suite,application/vnd.hydrostatix.sof-data,.sfd-hdstx,IANA: Hydrostatix Master Suite,application,.sfd-hdstx
Hyperstudio,application/hyperstudio,.stk,IANA - Hyperstudio,application,.stk
Hypertext Application Language,application/vnd.hal+xml,.hal,IANA: HAL,application,.hal
HyperText Markup Language (HTML),text/html,.html,Wikipedia: HTML,text,.html
IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm,IANA: IBM DB2 Rights Manager,application,.irm
IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc,IANA: EMMS,application,.sc
iCalendar,text/calendar,.ics,Wikipedia: iCalendar,text,.ics
ICC profile,application/vnd.iccprofile,.icc,IANA: ICC profile,application,.icc
Icon Image,image/x-icon,.ico,Wikipedia: ICO File Format,image,.ico
igLoader,application/vnd.igloader,.igl,IANA: igLoader,application,.igl
Image Exchange Format,image/ief,.ief,RFC 1314,image,.ief
ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp,IANA: ImmerVision PURE Players,application,.ivp
ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu,IANA: ImmerVision PURE Players,application,.ivu
IMS Networks,application/reginfo+xml,.rif, ,application,.rif
In3D - 3DML,text/vnd.in3d.3dml,.3dml,IANA: In3D,text,.3dml
In3D - 3DML,text/vnd.in3d.spot,.spot,IANA: In3D,text,.spot
Initial Graphics Exchange Specification (IGES),model/iges,.igs,Wikipedia: IGES,model,.igs
Interactive Geometry Software,application/vnd.intergeo,.i2g,IANA: Interactive Geometry Software,application,.i2g
Interactive Geometry Software Cinderella,application/vnd.cinderella,.cdy,IANA: Cinderella,application,.cdy
Intercon FormNet,application/vnd.intercon.formnet,.xpw,IANA: Intercon FormNet,application,.xpw
International Society for Advancement of Cytometry,application/vnd.isac.fcs,.fcs,IANA: International Society for Advancement of Cytometry,application,.fcs
Internet Protocol Flow Information Export,application/ipfix,.ipfix,RFC 3917,application,.ipfix
Internet Public Key Infrastructure - Certificate,application/pkix-cert,.cer,RFC 2585,application,.cer
Internet Public Key Infrastructure - Certificate Management Protocole,application/pkixcmp,.pki,RFC 2585,application,.pki
Internet Public Key Infrastructure - Certificate Revocation Lists,application/pkix-crl,.crl,RFC 2585,application,.crl
Internet Public Key Infrastructure - Certification Path,application/pkix-pkipath,.pkipath,RFC 2585,application,.pkipath
IOCOM Visimeet,application/vnd.insors.igm,.igm,IANA: IOCOM Visimeet,application,.igm
IP Unplugged Roaming Client,application/vnd.ipunplugged.rcprofile,.rcprofile,IANA: IP Unplugged Roaming Client,application,.rcprofile
iRepository / Lucidoc Editor,application/vnd.irepository.package+xml,.irp,IANA: iRepository / Lucidoc Editor,application,.irp
J2ME App Descriptor,text/vnd.sun.j2me.app-descriptor,.jad,IANA: J2ME App Descriptor,text,.jad
Java Archive,application/java-archive,.jar,Wikipedia: JAR file format,application,.jar
Java Bytecode File,application/java-vm,.class,Wikipedia: Java Bytecode,application,.class
